Customer_sk,Customer_id,Name,Addr1,Addr2,City,State,Zip,Typename,CustomertypeID,source,Version,EffectiveDate,ExpirationDate
2,3,Baxter Mayer,,796-2366 Vel Avenue,Meriden,FL,58328-0000,Commercial,C,PEC,,,
3,6,Raphael Allison,,734-2598 Sedy Avenue,La Crosse,HI,58702-0000,Commercial,C,PEC,,,
4,9,The Product Company (East),,20021 Barnes Road,Stratford,NY,13470-0000,Education,E,PEC,,,
5,11,Austin Ferrell,,8666 Justor Road,Pullman,PA,55979-0000,Commercial,C,PEC,,,
6,14,Serrano Milano,,7212 Eleifend Street,Princenton,KY,66785-0000,Commercial,C,PEC,,,
7,15,Colton Maldonado,,1869 Leo Road,Cedar Rapids,SD,97640-0000,Education,E,PEC,,,
8,16,Googol Dan,,5453 Dictum Avenue,Jenks,LA,96393-0000,Commercial,C,PEC,,,
9,20,Pewter Gymo,,9028 Non Street,Sandy,FL,87202-0000,Commercial,C,PEC,,,
10,27,Clare Bairdy,,6152 Auctor Street,Wilson,MS,29338-0000,Commercial,C,PEC,,,
11,29,Blevins ,,2571 Donec Avenue,Folsom,CA,65512-0000,Commercial,C,PEC,,,
12,30,Knox Reid,,500 Eu Avenue,Pass Christian,WY,35949-0000,Commercial,C,PEC,,,
13,32,Ferengi Treasures,,716-6837 Vulputate Avenue,Paramount,NY,35644-0000,Commercial,C,PEC,,,
14,33,Tallulah ,,3376-8976 Aliquet Street,Batavia,NM,50742-0000,Commercial,C,PEC,,,
15,34,The Product Company (West),,21 E Bullard Avenue,Santa Clara,CA,93710-0000,Commercial,C,PEC,,,
16,1,Haynes Brown,,2920 Auctor,Moraga,AZ,70314-0000,Education,E,PEC,,,
17,7,Martini Donaldson,,2704 At Road,Gardner,GA,31421-0000,Education,E,PEC,,,
18,18,Melvin House,,8371 Nullam Road,Isle of Palms,ME,89644-0000,Education,E,PEC,,,
19,19,Emerson Electric Company,,1792 Squash Drive,South Texarkana,TX,75501-0000,Education,E,PEC,,,
20,21,Hop Adams,,70434 Nisl Road,Sun Valley,NH,84458-0000,Education,E,PEC,,,
21,22,Xavier Harmon,,2285 Ante Street,New York,NY,16456-0000,Education,E,PEC,,,
